Current(A),Test_Time(s),Voltage(V),Charge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Charge_Energy(Wh),Power(W)
0.14999,1156.42,4.2002,0.03924,0.0,0.0,0.16548,0.62999
0.148,1156.43,4.2002,0.03924,0.0,0.0,0.16549,0.62163
0.14998,76509.948,3.1527,0.03999,,0.2639,0.12226,0.47284
0.14999,76569.948,3.1616,0.04249,3.7388,0.2774,0.13015,0.47421
0.14999,76629.948,3.1702,0.04499,3.5961,0.28738,0.13806,0.4755
0.14998,76689.948,3.1787,0.04749,3.4502,0.29931,0.14599,0.47674
0.14998,76749.949,3.1869,0.04999,3.3364,0.30478,0.15395,0.47797
0.14998,76809.949,3.1948,0.05248,3.1953,0.31647,0.16192,0.47916
0.14998,76869.948,3.2024,0.05498,,0.32408,0.16992,0.4803
0.14998,76929.95,3.2098,0.05748,3.0719,0.33573,0.17793,0.48141
0.14998,76989.948,3.2172,0.05998,2.9605,0.34017,0.18596,0.48252
0.14999,77049.948,3.2242,0.06248,2.8523,0.35579,0.19401,0.4836
0.14998,77109.947,3.231,0.06498,,0.36051,0.20207,0.48459
0.14998,77169.95,3.2376,0.06748,2.734,0.36954,0.21016,0.48558
0.14999,77229.948,3.2441,0.06998,2.6353,0.38362,0.21826,0.48658
0.14998,77289.948,3.2506,0.07248,,0.39418,0.22637,0.48752
0.14999,77349.948,3.2568,0.07498,2.5451,0.39573,0.2345,0.48849
0.14998,77409.95,3.2627,0.07748,,0.40611,0.24265,0.48934
0.14998,77469.95,3.2686,0.07998,2.4329,0.42349,0.25081,0.49022
0.14998,77529.949,3.2744,0.08247,2.3408,0.431,0.25899,0.49109
0.14998,77589.949,3.2802,0.08497,,0.44252,0.26718,0.49196
0.15,77649.948,3.2857,0.08747,2.2532,0.44836,0.27538,0.49286
0.14999,77709.948,3.291,0.08997,,0.45829,0.2836,0.49362
0.14998,77769.948,3.2962,0.09247,2.1637,0.4666,0.29183,0.49436
0.14998,77829.95,3.3013,0.09497,,0.47952,0.30008,0.49513
0.14998,77889.949,3.3066,0.09747,2.0663,0.48856,0.30833,0.49592
0.14997,77949.95,3.3115,0.09997,,0.49728,0.3166,0.49663
0.14998,78009.95,3.3163,0.10247,1.9942,0.51087,0.32489,0.49738
0.14998,78069.948,3.321,0.10497,,0.51692,0.33318,0.49808
0.14997,78129.949,3.3256,0.10747,1.9011,0.53375,0.34148,0.49874
0.14999,78189.95,3.3303,0.10996,,0.54438,0.3498,0.49951
0.14998,78249.948,3.3347,0.11246,1.8212,0.5608,0.35813,0.50014
0.14998,78309.949,3.3389,0.11496,,0.56913,0.36647,0.50077
0.14998,78369.95,3.3432,0.11746,1.7295,,0.37482,0.50141
0.14999,78429.948,3.3474,0.11996,,0.58647,0.38318,0.50208
0.14998,78489.948,3.3515,0.12246,0.0,0.60364,0.39155,0.50266
0.14998,78549.948,3.3554,0.12496,1.6354,0.62281,0.39993,0.50324
0.14998,78609.949,3.3591,0.12746,,0.65155,0.40832,0.5038
0.14999,78669.949,3.3628,0.12996,1.5147,,0.41672,0.50439
0.14998,78729.949,3.3663,0.13246,,0.68191,0.42513,0.50488
0.14998,78789.949,3.3698,0.13496,,0.71601,0.43355,0.5054
0.15,78849.949,3.3729,0.13745,1.3358,,0.44197,0.50594
0.14999,78909.948,3.3758,0.13995,,0.7912,0.4504,0.50634
0.14998,78969.949,3.3785,0.14245,0.0,0.87562,0.45884,0.50671
0.14998,79029.95,3.381,0.14495,,,0.46729,0.50708
0.14998,79089.949,3.3834,0.14745,1.0614,1.035,0.47574,0.50744
0.14998,79149.949,3.3856,0.14995,,,0.4842,0.50777
0.14999,79209.949,3.3873,0.15245,0.0,0.0,0.49267,0.50806
0.14998,79269.95,3.3892,0.15495,,1.2504,0.50113,0.50831
0.14999,79329.948,3.391,0.15745,0.0,,0.50961,0.50862
0.14998,79389.949,3.3925,0.15995,,0.0,0.51808,0.50881
0.14998,79449.948,3.394,0.16245,0.72853,1.5682,0.52656,0.50903
0.14998,79509.948,3.3952,0.16495,,,0.53505,0.50921
0.14998,79569.95,3.3964,0.16744,0.0,0.0,0.54353,0.50939
0.14998,79629.949,3.3977,0.16994,,,0.55202,0.50959
0.14998,79689.947,3.399,0.17244,0.0,1.9454,0.56051,0.50978
0.14999,79749.95,3.4001,0.17494,,,0.56901,0.50998
0.14999,79809.95,3.401,0.17744,0.0,0.0,0.57751,0.51012
0.14999,79869.948,3.402,0.17994,,,0.58601,0.51027
0.14999,79929.949,3.4032,0.18244,0.47255,0.0,0.59451,0.51045
0.14997,79989.948,3.4041,0.18494,,2.3716,0.60302,0.51051
0.14999,80049.951,3.4049,0.18744,0.0,,0.61153,0.5107
0.14999,80109.949,3.4059,0.18994,,0.0,0.62004,0.51085
0.14999,80169.948,3.4068,0.19244,0.0,,0.62855,0.51099
0.14999,80229.95,3.4078,0.19493,,0.0,0.63707,0.51114
0.14998,80289.948,3.4087,0.19743,0.0,2.722,0.64558,0.51124
0.14999,80349.948,3.4094,0.19993,,,0.6541,0.51138
0.14999,80409.948,3.4103,0.20243,0.0,0.0,0.66263,0.51151
0.14999,80469.948,3.4112,0.20493,,,0.67115,0.51165
0.14999,80529.948,3.412,0.20743,0.0,0.0,0.67968,0.51177
0.14998,80589.95,3.4128,0.20993,,,0.6882,0.51185
0.14999,80649.949,3.4134,0.21243,0.35211,3.0046,0.69673,0.51198
0.14998,80709.95,3.4143,0.21493,,,0.70527,0.51208
0.14999,80769.95,3.4152,0.21743,0.0,0.0,0.7138,0.51225
0.14998,80829.949,3.416,0.21993,,,0.72234,0.51233
0.15,80889.948,3.4166,0.22243,0.0,0.0,0.73087,0.51249
0.14998,80949.948,3.4173,0.22492,,,0.73941,0.51253
0.14998,81009.949,3.4181,0.22742,0.0,0.0,0.74795,0.51265
0.14998,81069.949,3.419,0.22992,,3.2769,0.7565,0.51278
0.14999,81129.949,3.4197,0.23242,0.0,,0.76504,0.51292
0.14999,81189.948,3.4202,0.23492,,0.0,0.77359,0.513
0.14998,81249.949,3.4209,0.23742,0.0,,0.78214,0.51307
0.14998,81309.948,3.4217,0.23992,,0.0,0.79069,0.51319
0.14998,81369.948,3.4226,0.24242,0.0,,0.79924,0.51332
0.14998,81429.949,3.4233,0.24492,0.29775,0.0,0.8078,0.51343
0.14998,81489.949,3.4238,0.24742,,3.5003,0.81635,0.5135
0.14999,81549.949,3.4244,0.24992,0.0,,0.82491,0.51363
0.14998,81609.949,3.4253,0.25242,,0.0,0.83347,0.51373
0.14998,81669.948,3.426,0.25491,0.0,,0.84203,0.51383
0.14998,81729.948,3.4266,0.25741,,0.0,0.85059,0.51392
0.14998,81789.948,3.4272,0.25991,0.0,,0.85916,0.51401
0.14998,81849.948,3.4278,0.26241,,0.0,0.86772,0.5141
0.14998,81909.948,3.4286,0.26491,0.0,3.7105,0.87629,0.51422
0.14998,81969.949,3.4293,0.26741,,,0.88486,0.51433
0.14999,82029.95,3.4299,0.26991,0.0,0.0,0.89343,0.51445
0.14998,82089.947,3.4304,0.27241,,,0.902,0.51449
0.14998,82149.949,3.4311,0.27491,0.0,0.0,0.91058,0.5146
0.14998,82209.95,3.4319,0.27741,,,0.91915,0.51472
0.14998,82269.947,3.4326,0.27991,0.0,0.0,0.92773,0.51482
0.14999,82329.949,3.433,0.2824,0.26573,,0.93631,0.51492
0.14998,82389.949,3.4336,0.2849,,3.8455,0.94489,0.51497
0.14999,82449.947,3.4343,0.2874,0.0,,0.95347,0.51511
0.14998,82509.949,3.4351,0.2899,,0.0,0.96206,0.5152
0.14998,82569.949,3.4357,0.2924,0.0,,0.97064,0.51529
0.14999,82629.949,3.4362,0.2949,,0.0,0.97923,0.5154
0.14998,82689.95,3.4369,0.2974,0.0,,0.98782,0.51547
0.14998,82749.949,3.4375,0.2999,,0.0,0.99641,0.51556
0.14998,82809.948,3.4382,0.3024,0.0,,1.005,0.51566
0.14998,82869.949,3.439,0.3049,,3.9094,1.0136,0.51578
0.14998,82929.948,3.4396,0.3074,0.0,,1.0222,0.51587
0.14999,82989.948,3.44,0.3099,,0.0,1.0308,0.51597
0.14999,83049.948,3.4407,0.31239,0.0,,1.0394,0.51607
0.14999,83109.949,3.4413,0.31489,,0.0,1.048,0.51616
0.14998,83169.948,3.4421,0.31739,0.0,,1.0566,0.51625
0.14998,83229.948,3.4428,0.31989,,0.0,1.0652,0.51635
0.14998,83289.949,3.4433,0.32239,0.25654,,1.0738,0.51643
0.14998,83349.948,3.4439,0.32489,,3.8723,1.0824,0.51652
0.14999,83409.948,3.4447,0.32739,0.0,,1.091,0.51667
0.14998,83469.949,3.4454,0.32989,,0.0,1.0996,0.51674
0.14999,83529.949,3.4461,0.33239,0.0,,1.1082,0.51688
0.14998,83589.949,3.4466,0.33489,,0.0,1.1168,0.51692
0.14999,83649.95,3.4472,0.33739,0.0,,1.1255,0.51705
0.14998,83709.95,3.4479,0.33989,,0.0,1.1341,0.51712
