Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W)
-0.14999,13096.735,4.0668,0.34739,0.0,0.0,1.4217,-0.60998
-0.14999,13156.735,4.0667,0.34989,,,1.4318,-0.60996
-0.15,13216.736,4.0664,0.35239,0.0,0.0,1.442,-0.60996
-0.14999,13276.735,4.066,0.35489,,,1.4522,-0.60986
-0.14999,13336.735,4.0656,0.35739,0.0,0.0,1.4623,-0.6098
-0.14999,13396.735,4.0653,0.35989,,,1.4725,-0.60975
-0.14999,13456.737,4.0651,0.36239,0.0,0.0,1.4826,-0.60972
-0.14999,13516.734,4.0647,0.36489,,,1.4928,-0.60966
-0.14999,13576.736,4.0641,0.36739,0.0,0.0,1.503,-0.60957
-0.14999,13636.734,4.0638,0.36989,,,1.5131,-0.60953
-0.14999,13696.735,4.0634,0.37238,0.0,0.0,1.5233,-0.60947
-0.14998,13756.734,4.0631,0.37488,,7.4492,1.5334,-0.60938
-0.14999,13816.736,4.0627,0.37738,0.0,,1.5436,-0.60936
-0.14999,13876.735,4.0621,0.37988,,0.0,1.5537,-0.60927
-0.14999,13936.736,4.0616,0.38238,0.0,,1.5639,-0.6092
-0.14999,13996.734,4.0611,0.38488,,0.0,1.574,-0.60912
-0.14999,14056.734,4.0608,0.38738,0.0,,1.5842,-0.60908
-0.14998,14116.736,4.0603,0.38988,,0.0,1.5943,-0.60896
-0.15,14176.737,4.0596,0.39238,0.0,,1.6045,-0.60894
-0.14999,14236.736,4.0591,0.39488,,0.0,1.6146,-0.60882
-0.14999,14296.735,4.0587,0.39738,0.0,,1.6248,-0.60876
-0.14999,14356.737,4.0582,0.39988,0.15972,0.0,1.6349,-0.60869
-0.14999,14416.735,4.0576,0.40238,,5.2428,1.6451,-0.6086
-0.15,14476.735,4.0569,0.40488,0.0,,1.6552,-0.60854
-0.15,14536.734,4.0563,0.40737,,0.0,1.6653,-0.60845
-0.15001,14596.735,4.0558,0.40987,0.0,,1.6755,-0.60841
-0.15,14656.735,4.0553,0.41237,,0.0,1.6856,-0.6083
-0.14999,14716.735,4.0546,0.41487,0.0,,1.6958,-0.60815
-0.14999,14776.735,4.0539,0.41737,,0.0,1.7059,-0.60804
-0.15,14836.736,4.0533,0.41987,0.0,,1.716,-0.608
-0.14999,14896.736,4.0528,0.42237,,4.1728,1.7261,-0.60788
-0.14999,14956.736,4.0522,0.42487,0.0,,1.7363,-0.60779
-0.15,15016.736,4.0514,0.42737,,0.0,1.7464,-0.60771
-0.14999,15076.736,4.0506,0.42987,0.0,,1.7565,-0.60755
-0.14998,15136.735,4.05,0.43237,,0.0,1.7666,-0.60742
-0.15,15196.737,4.0495,0.43487,0.0,,1.7768,-0.60743
-0.14999,15256.735,4.0488,0.43737,,0.0,1.7869,-0.60728
-0.14998,15316.735,4.0479,0.43987,0.24604,3.6143,1.797,-0.6071
-0.14999,15376.736,4.0472,0.44236,,,1.8071,-0.60704
-0.14999,15436.735,4.0465,0.44486,0.0,0.0,1.8172,-0.60693
-0.14998,15496.737,4.0459,0.44736,,,1.8273,-0.6068
-0.14999,15556.734,4.0452,0.44986,0.0,0.0,1.8375,-0.60674
-0.14999,15616.734,4.0445,0.45236,,,1.8476,-0.60663
-0.15,15676.735,4.0436,0.45486,0.0,0.0,1.8577,-0.60654
-0.14999,15736.736,4.0428,0.45736,,3.5966,1.8678,-0.60638
-0.14999,15796.736,4.0422,0.45986,0.0,,1.8779,-0.60629
-0.15,15856.735,4.0415,0.46236,,0.0,1.888,-0.60623
-0.14999,15916.734,4.0408,0.46486,0.0,,1.8981,-0.60608
-0.14999,15976.737,4.04,0.46736,,0.0,1.9082,-0.60596
-0.14999,16036.736,4.0391,0.46986,0.0,,1.9183,-0.60582
-0.14998,16096.734,4.0383,0.47236,,0.0,1.9284,-0.60566
-0.14998,16156.736,4.0377,0.47485,0.29428,3.2749,1.9385,-0.60557
-0.15,16216.734,4.0369,0.47735,,,1.9486,-0.60554
-0.14998,16276.736,4.036,0.47985,0.0,0.0,1.9586,-0.60532
-0.14999,16336.737,4.0351,0.48235,,,1.9687,-0.60522
-0.14999,16396.736,4.0343,0.48485,0.0,0.0,1.9788,-0.6051
-0.14998,16456.735,4.0336,0.48735,,,1.9889,-0.60496
-0.14998,16516.734,4.0328,0.48985,0.0,3.1042,1.999,-0.60484
-0.14999,16576.737,4.032,0.49235,,,2.0091,-0.60476
-0.15,16636.736,4.0309,0.49485,0.0,0.0,2.0191,-0.60464
-0.14999,16696.735,4.0301,0.49735,,,2.0292,-0.60447
-0.15,16756.736,4.0294,0.49985,0.0,0.0,2.0393,-0.60441
-0.14998,16816.737,4.0287,0.50235,,,2.0493,-0.60422
-0.14999,16876.735,4.0278,0.50485,0.32667,3.0001,2.0594,-0.60413
-0.15,16936.736,4.0268,0.50734,,,2.0695,-0.60402
-0.14999,16996.736,4.0259,0.50984,0.0,0.0,2.0795,-0.60384
-0.14998,17056.735,4.0253,0.51234,,,2.0896,-0.60371
-0.14999,17116.734,4.0244,0.51484,0.0,0.0,2.0997,-0.60362
-0.14998,17176.736,4.0234,0.51734,,,2.1097,-0.60343
-0.14999,17236.734,4.0224,0.51984,0.0,2.8711,2.1198,-0.60332
-0.14999,17296.736,4.0215,0.52234,,,2.1298,-0.60318
-0.14999,17356.734,4.0208,0.52484,0.0,0.0,2.1399,-0.60308
-0.14999,17416.737,4.02,0.52734,,,2.1499,-0.60296
-0.14999,17476.735,4.0189,0.52984,0.0,0.0,2.16,-0.60279
-0.14999,17536.735,4.0179,0.53234,0.35223,,2.17,-0.60264
-0.14999,17596.734,4.017,0.53484,,2.7911,2.18,-0.60251
-0.14999,17656.735,4.0163,0.53734,0.0,,2.1901,-0.6024
-0.15,17716.735,4.0154,0.53984,,0.0,2.2001,-0.60231
-0.15,17776.737,4.0143,0.54233,0.0,,2.2102,-0.60215
-0.14999,17836.736,4.0133,0.54483,,0.0,2.2202,-0.60195
-0.15,17896.735,4.0124,0.54733,0.0,2.7272,2.2302,-0.60186
-0.14999,17956.736,4.0117,0.54983,,,2.2402,-0.60171
-0.14998,18016.735,4.0107,0.55233,0.0,0.0,2.2503,-0.60152
-0.14999,18076.735,4.0098,0.55483,,,2.2603,-0.60143
-0.14999,18136.736,4.0087,0.55733,0.0,0.0,2.2703,-0.60126
-0.15,18196.735,4.0077,0.55983,0.38087,2.6095,2.2803,-0.60116
-0.14999,18256.735,4.0069,0.56233,,,2.2903,-0.60099
-0.14999,18316.735,4.006,0.56483,0.0,0.0,2.3004,-0.60086
-0.14998,18376.736,4.005,0.56733,,,2.3104,-0.60067
-0.14998,18436.736,4.0039,0.56983,0.0,0.0,2.3204,-0.6005
-0.15,18496.735,4.0029,0.57233,,2.5376,2.3304,-0.60044
-0.14999,18556.735,4.0021,0.57483,0.0,,2.3404,-0.60027
-0.14999,18616.735,4.0012,0.57732,,0.0,2.3504,-0.60014
-0.15,18676.735,4.0001,0.57982,0.0,,2.3604,-0.60002
-0.15,18736.735,3.999,0.58232,,0.0,2.3704,-0.59985
-0.14998,18796.736,3.998,0.58482,0.38846,,2.3804,-0.59962
-0.14999,18856.737,3.9972,0.58732,,2.6169,2.3904,-0.59954
-0.14999,18916.736,3.9963,0.58982,0.0,,2.4004,-0.59941
-0.15,18976.734,3.9952,0.59232,,0.0,2.4103,-0.59928
-0.15,19036.736,3.9942,0.59482,0.0,,2.4203,-0.59913
-0.14999,19096.736,3.9931,0.59732,,0.0,2.4303,-0.59893
-0.14999,19156.735,3.9922,0.59982,0.0,2.5976,2.4403,-0.59879
-0.15001,19216.736,3.9914,0.60232,,,2.4503,-0.59875
-0.14999,19276.735,3.9903,0.60482,0.0,0.0,2.4602,-0.59851
-0.15,19336.735,3.9892,0.60732,,,2.4702,-0.59838
-0.15,19396.736,3.9882,0.60981,0.0,0.0,2.4802,-0.59823
-0.14998,19456.735,3.9872,0.61231,0.38311,2.5262,2.4901,-0.598
-0.14999,19516.735,3.9864,0.61481,,,2.5001,-0.59792
-0.15,19576.736,3.9854,0.61731,0.0,0.0,2.5101,-0.59781
-0.14999,19636.735,3.9842,0.61981,,,2.52,-0.59759
-0.14999,19696.737,3.9833,0.62231,0.0,0.0,2.53,-0.59746
-0.15,19756.737,3.9819,0.62481,,2.4479,2.5399,-0.59729
-0.15,19816.735,3.9815,0.62731,0.0,,2.5499,-0.59723
-0.15,19876.735,3.9805,0.62981,,0.0,2.5598,-0.59708
-0.14998,19936.735,3.9793,0.63231,0.0,,2.5698,-0.59682
-0.14999,19996.736,3.9783,0.63481,,0.0,2.5797,-0.59671
-0.14999,20056.735,3.9774,0.63731,0.39602,2.5944,2.5897,-0.59657
-0.14999,20116.735,3.9765,0.63981,,,2.5996,-0.59644
-0.15,20176.736,3.9755,0.6423,0.0,0.0,2.6095,-0.59633
-0.15,20236.735,3.9744,0.6448,,,2.6195,-0.59616
-0.15,20296.736,3.9734,0.6473,0.0,0.0,2.6294,-0.59601
-0.15,20356.736,3.9726,0.6498,,2.5915,2.6393,-0.59589
-0.14999,20416.734,3.9717,0.6523,0.0,,2.6493,-0.59572
-0.14999,20476.734,3.9706,0.6548,,0.0,2.6592,-0.59555
-0.14998,20536.736,3.9696,0.6573,0.0,,2.6691,-0.59536
-0.15,20596.736,3.9686,0.6598,,0.0,2.679,-0.59529
-0.14999,20656.737,3.9679,0.6623,0.38644,2.6138,2.689,-0.59515
-0.15,20716.736,3.9669,0.6648,,,2.6989,-0.59504
-0.14999,20776.735,3.9658,0.6673,0.0,0.0,2.7088,-0.59483
-0.15,20836.735,3.9648,0.6698,,,2.7187,-0.59472
-0.15,20896.737,3.9639,0.6723,0.0,0.0,2.7286,-0.59459
-0.14999,20956.735,3.9631,0.6748,,,2.7385,-0.59443
-0.14998,21016.735,3.9622,0.67729,0.0,2.6395,2.7484,-0.59425
-0.15,21076.735,3.9611,0.67979,,,2.7583,-0.59417
-0.14999,21136.735,3.9602,0.68229,0.0,0.0,2.7682,-0.59399
-0.14999,21196.735,3.9593,0.68479,,,2.7781,-0.59386
-0.14999,21256.736,3.9585,0.68729,0.0,0.0,2.788,-0.59374
-0.14999,21316.737,3.9576,0.68979,0.37313,2.6728,2.7979,-0.5936
-0.15,21376.737,3.9565,0.69229,,,2.8078,-0.59348
-0.15,21436.736,3.9556,0.69479,0.0,0.0,2.8177,-0.59334
-0.14999,21496.735,3.9549,0.69729,,,2.8276,-0.5932
-0.15,21556.737,3.954,0.69979,0.0,0.0,2.8374,-0.5931
-0.15,21616.737,3.953,0.70229,,,2.8473,-0.59295
-0.14999,21676.736,3.952,0.70479,0.0,2.8393,2.8572,-0.59276
-0.15,21736.735,3.9512,0.70729,,,2.8671,-0.59268
-0.15001,21796.736,3.9505,0.70978,0.0,0.0,2.877,-0.59261
-0.14999,21856.735,3.9496,0.71228,,,2.8868,-0.5924
-0.14999,21916.736,3.9486,0.71478,0.0,0.0,2.8967,-0.59225
-0.15,21976.736,3.9477,0.71728,0.35418,,2.9066,-0.59216
-0.14999,22036.736,3.9469,0.71978,,2.8682,2.9164,-0.592
-0.14999,22096.735,3.9462,0.72228,0.0,,2.9263,-0.59189
-0.14999,22156.734,3.9454,0.72478,,0.0,2.9361,-0.59177
-0.14999,22216.735,3.9443,0.72728,0.0,,2.946,-0.59161
-0.15,22276.736,3.9435,0.72978,,0.0,2.9559,-0.59153
-0.15,22336.735,3.9427,0.73228,0.0,2.9823,2.9657,-0.59141
-0.14999,22396.735,3.9419,0.73478,,,2.9756,-0.59125
-0.14999,22456.736,3.9412,0.73728,0.0,0.0,2.9854,-0.59114
-0.15,22516.736,3.9404,0.73978,,,2.9953,-0.59106
-0.14999,22576.736,3.9395,0.74228,0.0,,3.0051,-0.59089
-0.14999,22636.737,3.9386,0.74477,,0.0,3.015,-0.59075
-0.14999,22696.735,3.9378,0.74727,0.33089,,3.0248,-0.59063
-0.15001,22756.736,3.9372,0.74977,,3.0861,3.0346,-0.59062
-0.14999,22816.735,3.9365,0.75227,0.0,,3.0445,-0.59044
-0.14999,22876.735,3.9356,0.75477,,0.0,3.0543,-0.5903
-0.14999,22936.735,3.9346,0.75727,0.0,,3.0642,-0.59015
-0.15,22996.734,3.9339,0.75977,,0.0,3.074,-0.59009
-0.14999,23056.736,3.9333,0.76227,0.0,,3.0838,-0.58996
-0.15,23116.736,3.9326,0.76477,,3.2145,3.0937,-0.58989
