Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
-0.15002,14543.9737,4.0704,0.41255,,,1.692,-0.61064,,,,,1.692,-0.6106330069930074,0.0035239270533206,5.254340999723721,0.005599999999999999
-0.15001,14603.9754,4.0702,0.41505,0.0,0.0,1.7022,-0.61057,,,,,1.7022,-0.6105970629370635,0.0035090726267092,5.254340999723721,0.005599999999999999
-0.15002,14663.9747,4.07,0.41755,,,1.7124,-0.61058,,,,,1.7124,-0.6105614219114225,0.0035034839997365,5.254340999723721,0.005599999999999999
-0.15003,14723.9728,4.0696,0.42005,0.0,0.0,1.7225,-0.61056,,,,,1.7225,-0.6105259440559446,0.0034943878446114,5.254340999723721,0.005599999999999999
-0.15001,14783.9752,4.0694,0.42255,,,1.7327,-0.61045,,,,,1.7327,-0.6104904895104899,0.0034816490698119,5.254340999723721,0.005599999999999999
-0.15002,14843.9728,4.0692,0.42505,0.0,0.0,1.7429,-0.61046,,,,,1.7429,-0.6104549184149205,0.0033399606928128,5.254340999723721,0.005599999999999999
-0.15001,14903.9729,4.0691,0.42755,,,1.7531,-0.61041,,,,,1.7531,-0.6104223543123565,0.0039390187151937,5.254340999723721,0.005599999999999999
-0.15001,14963.9728,4.0689,0.43005,,0.0,1.7632,-0.61038,,,,,1.7632,-0.6103751048951069,0.0040913793138095,5.254340999723721,0.005599999999999999
-0.15002,15023.9736,4.0687,0.43255,0.0,,1.7734,-0.61039,,,,,1.7734,-0.6103394172494193,0.0030085927144796,5.254340999723721,0.005599999999999999
-0.15001,15083.9735,4.0682,0.43505,,0.0,1.7836,-0.61027,,,,,1.7836,-0.6103137296037315,0.0028109145756189,5.254340999723721,0.005599999999999999
-0.15002,15143.9733,4.068,0.43755,0.0,,1.7938,-0.61028,,,,,1.7938,-0.6102820745920767,0.0034192200621099,5.254340999723721,0.005599999999999999
-0.15001,15203.9726,4.0678,0.44005,,0.0,1.8039,-0.61021,,,,,1.8039,-0.6102443822843843,0.0039956888941752,5.666680621097908,0.005599999999999999
-0.15002,15263.9738,4.0677,0.44255,0.0,,1.8141,-0.61024,,,,,1.8141,-0.6102009090909112,0.0041146761734935,5.666680621097908,0.005599999999999999
-0.15002,15323.9731,4.0674,0.44505,,0.0,1.8243,-0.61019,,,,,1.8243,-0.610160442890445,0.0036263613433078,5.666680621097908,0.005599999999999999
-0.15002,15383.973,4.067,0.44755,0.0,,1.8344,-0.61013,,,,,1.8344,-0.6101272261072281,0.0039867964907678,5.666680621097908,0.005599999999999999
-0.15001,15443.9728,4.0666,0.45005,,0.0,1.8446,-0.61003,,,,,1.8446,-0.6100793706293727,0.0045008912656001,5.666680621097908,0.005599999999999999
-0.15002,15503.9727,4.0663,0.45255,0.0,,1.8548,-0.61003,,,,,1.8548,-0.6100354079254099,0.0048579904242309,5.666680621097908,0.005599999999999999
-0.15002,15563.9735,4.0662,0.45505,,11.04300022125244,1.8649,-0.61001,,,,,1.8649,-0.6099808624708646,0.0048466202303067,5.666680621097908,0.005599999999999999
-0.15001,15623.9752,4.066,0.45755,0.0,,1.8751,-0.60994,4.066,0.45755,-6.25000000000068,-0.1096742191610928,1.8751,-0.6099371328671349,0.0039135700900452,5.666680621097908,0.005599999999999999
-0.15002,15683.9726,4.0654,0.46005,,0.0,1.8853,-0.60989,,,,,1.8853,-0.6099010256410277,0.0040364686670315,5.666680621097908,0.005599999999999999
-0.15002,15743.9754,4.0651,0.46255,0.0,,1.8954,-0.60985,,,,,1.8954,-0.6098552913752935,0.0050063462089262,5.666680621097908,0.005599999999999999
-0.15002,15803.9747,4.0647,0.46505,,0.0,1.9056,-0.60979,,,,,1.9056,-0.6097993006993028,0.0059166323872226,5.666680621097908,0.005599999999999999
-0.15002,15863.9735,4.0645,0.46755,0.0,,1.9158,-0.60976,,,,,1.9158,-0.6097345920745941,0.0061911596504771,5.666680621097908,0.005599999999999999
-0.15002,15923.9728,4.0641,0.47005,,0.0,1.9259,-0.6097,,,,,1.9259,-0.6096735897435918,0.0061718303208131,5.666680621097908,0.005599999999999999
-0.15001,15983.9744,4.0636,0.47255,0.0,,1.9361,-0.60958,,,,,1.9361,-0.6096092773892794,0.0058053821564669,5.666680621097908,0.005599999999999999
-0.15002,16043.9736,4.0631,0.47505,,0.0,1.9462,-0.60955,,,,,1.9462,-0.6095556410256431,0.0057485311868461,5.666680621097908,0.005599999999999999
-0.15001,16103.9743,4.0627,0.47755,0.0,,1.9564,-0.60945,,,,,1.9564,-0.6094924941724963,0.0066250742721329,5.666680621097908,0.005599999999999999
-0.15002,16163.9732,4.0624,0.48005,,0.0,1.9666,-0.60944,,,,,1.9666,-0.6094204895104915,0.0070190226788504,5.666680621097908,0.005599999999999999
-0.15002,16223.9738,4.062,0.48255,0.0,,1.9767,-0.60938,4.062,0.48255,-5.200406276268062,-0.2103257808388861,1.9767,-0.6093500000000021,0.006948527476517,4.992348458733375,0.005599999999999999
-0.15003,16283.9746,4.0614,0.48506,0.1126900017261505,6.313600063323975,1.9869,-0.60933,,,,,1.9869,-0.6092794405594425,0.0071433480195786,4.992348458733375,0.005599999999999999
-0.15001,16343.9745,4.0607,0.48756,,,1.997,-0.60915,,,,,1.997,-0.609205034965037,0.007973372176167,4.992348458733375,0.005599999999999999
-0.15001,16403.9728,4.0603,0.49006,0.0,0.0,2.0072,-0.60909,,,,,2.0072,-0.6091174592074613,0.0093429142080481,4.992348458733375,0.005599999999999999
-0.15001,16463.9729,4.0599,0.49256,,,2.0173,-0.60903,,,,,2.0173,-0.6090155244755265,0.0095509887568994,4.992348458733375,0.005599999999999999
-0.15001,16523.9728,4.0594,0.49506,0.0,0.0,2.0275,-0.60895,,,,,2.0275,-0.608923682983685,0.0083762672680833,4.992348458733375,0.005599999999999999
-0.15002,16583.9725,4.0586,0.49756,,,2.0376,-0.60887,,,,,2.0376,-0.6088453613053634,0.0076019570617233,4.992348458733375,0.005599999999999999
-0.15001,16643.974,4.0577,0.50006,0.0,0.0,2.0478,-0.6087,4.0577,0.50006,-4.189858591021235,-0.2389811145107216,2.0478,-0.608769393939396,0.0080611769132303,4.992348458733375,0.005599999999999999
-0.15001,16703.9745,4.0575,0.50256,,,2.0579,-0.60867,,,,,2.0579,-0.6086818414918435,0.0086126313186305,4.992348458733375,0.005599999999999999
-0.15002,16763.9738,4.057,0.50506,0.0,0.0,2.0681,-0.60863,,,,,2.0681,-0.6085945687645709,0.0087923764625266,4.992348458733375,0.005599999999999999
-0.15002,16823.9729,4.0564,0.50756,,,2.0782,-0.60854,,,,,2.0782,-0.6085034032634054,0.0091393754760105,3.98510899828711,0.005599999999999999
-0.15001,16883.9734,4.0556,0.51006,0.0,4.585899829864502,2.0883,-0.60838,,,,,2.0883,-0.6084099533799554,0.0090754376688124,3.98510899828711,0.005599999999999999
-0.15002,16943.9757,4.0549,0.51256,,,2.0985,-0.60832,,,,,2.0985,-0.6083192074592095,0.0102362434045559,3.98510899828711,0.005599999999999999
-0.15002,17003.9741,4.0542,0.51506,0.0,0.0,2.1086,-0.60821,4.0542,0.51506,-3.9968824500275417,-0.2533333333333303,2.1086,-0.6082024242424263,0.0111981618107002,3.98510899828711,0.005599999999999999
-0.15001,17063.974,4.0536,0.51756,,,2.1188,-0.60808,,,,,2.1188,-0.60809195804196,0.0105974651362608,3.98510899828711,0.005599999999999999
-0.15001,17123.9749,4.053,0.52006,0.0,0.0,2.1289,-0.60799,,,,,2.1289,-0.6079872494172515,0.0099483025225595,3.98510899828711,0.005599999999999999
-0.15001,17183.9735,4.0523,0.52256,,,2.139,-0.60789,,,,,2.139,-0.6078910023310043,0.0104380280660087,3.98510899828711,0.005599999999999999
-0.15001,17243.9732,4.0514,0.52506,0.2473600059747696,0.0,2.1492,-0.60775,,,,,2.1492,-0.6077751748251768,0.0112219488226159,3.98510899828711,0.005599999999999999
-0.15002,17303.9748,4.0508,0.52756,,3.559600114822388,2.1593,-0.6077,,,,,2.1593,-0.6076631701631722,0.0110145629947631,3.3503840919445245,0.005599999999999999
-0.15001,17363.9725,4.0501,0.53006,0.0,,2.1694,-0.60756,4.0501,0.53006,-3.426164790494049,-0.2944242424242702,2.1694,-0.6075526806526826,0.0110445659950606,3.3503840919445245,0.005599999999999999
-0.15001,17423.9747,4.0494,0.53256,,0.0,2.1795,-0.60745,,,,,2.1795,-0.6074400699300719,0.0109951332382145,3.3503840919445245,0.005599999999999999
-0.15,17483.9732,4.0485,0.53506,0.0,,2.1897,-0.60728,,,,,2.1897,-0.6073295104895126,0.0107794390655406,3.3503840919445245,0.005599999999999999
-0.15002,17543.9733,4.0476,0.53756,,0.0,2.1998,-0.60722,,,,,2.1998,-0.6072212354312375,0.0110030233792635,3.3503840919445245,0.005599999999999999
-0.15002,17603.9741,4.0469,0.54006,0.0,,2.2099,-0.60712,,,,,2.2099,-0.6071072494172515,0.0109995614946107,3.3503840919445245,0.005599999999999999
-0.15002,17663.9732,4.0462,0.54256,,3.354199886322021,2.22,-0.60701,4.0462,0.54256,-3.165571243103116,-0.3159999999999741,2.22,-0.6069990442890464,0.0111876572272571,3.3503840919445245,0.005599999999999999
-0.15002,17723.9747,4.0454,0.54506,0.0,,2.2301,-0.60689,,,,,2.2301,-0.6068812587412609,0.0116273165778117,3.066621889829686,0.005599999999999999
-0.15002,17783.9727,4.0446,0.54756,,0.0,2.2402,-0.60677,,,,,2.2402,-0.6067641724941746,0.0118499680697219,3.066621889829686,0.005599999999999999
-0.15002,17843.9744,4.0437,0.55006,0.0,,2.2504,-0.60664,,,,,2.2504,-0.6066406526806547,0.0118476487775396,3.066621889829686,0.005599999999999999
-0.15002,17903.9736,4.0428,0.55256,,0.0,2.2605,-0.6065,,,,,2.2605,-0.6065236130536151,0.01225160977636,3.066621889829686,0.005599999999999999
-0.15001,17963.9734,4.0422,0.55506,0.0,,2.2706,-0.60637,4.0422,0.55506,-3.05240998838579,-0.3279999999999745,2.2706,-0.6063931701631722,0.0125908744720639,3.066621889829686,0.005599999999999999
-0.15002,18023.9731,4.0414,0.55756,0.3069300055503845,0.0,2.2807,-0.60629,,,,,2.2807,-0.6062692773892795,0.012458168893815,3.066621889829686,0.005599999999999999
-0.15003,18083.9732,4.0404,0.56006,,3.0715999603271484,2.2908,-0.60618,,,,,2.2908,-0.6061415151515172,0.0123646980082661,3.066621889829686,0.005599999999999999
-0.15002,18143.9745,4.0396,0.56256,0.0,,2.3009,-0.60602,,,,,2.3009,-0.6060195104895125,0.012639340857163,2.9166187219439683,0.005599999999999999
-0.15001,18203.9735,4.0386,0.56506,,0.0,2.311,-0.60583,,,,,2.311,-0.6058862004662025,0.0132786355558636,2.9166187219439683,0.005599999999999999
-0.15002,18263.9751,4.038,0.56756,0.0,,2.3211,-0.60578,4.038,0.56756,-2.830791913070314,-0.3548888888888939,2.3211,-0.605751282051284,0.0138256133305603,2.9166187219439683,0.005599999999999999
-0.15001,18323.9732,4.0371,0.57006,,0.0,2.3312,-0.60561,,,,,2.3312,-0.6056069230769251,0.0135301991737613,2.9166187219439683,0.005599999999999999
-0.15002,18383.9732,4.0361,0.57256,0.0,2.756799936294556,2.3413,-0.6055,,,,,2.3413,-0.605477972027974,0.0126162616261567,2.9166187219439683,0.005599999999999999
-0.15001,18443.9733,4.0351,0.57506,,,2.3514,-0.60531,,,,,2.3514,-0.6053520745920767,0.012475019717808,2.9166187219439683,0.005599999999999999
-0.15002,18503.974,4.0343,0.57756,0.0,0.0,2.3614,-0.60523,4.0343,0.57756,-2.766872175205308,-0.3618785540204214,2.3614,-0.6052272261072282,0.0133258510696236,2.822914029983857,0.005599999999999999
-0.15001,18563.9745,4.0336,0.58007,,,2.3715,-0.60508,,,,,2.3715,-0.6050840559440579,0.01348404071177,2.822914029983857,0.005599999999999999
-0.15002,18623.9732,4.0328,0.58257,0.0,0.0,2.3816,-0.605,,,,,2.3816,-0.6049548484848505,0.0128297445129099,2.822914029983857,0.005599999999999999
-0.15001,18683.9729,4.0318,0.58507,,,2.3917,-0.60481,,,,,2.3917,-0.6048248951048971,0.0124650926631098,2.822914029983857,0.005599999999999999
-0.15002,18743.9728,4.0307,0.58757,0.3517400026321411,3.0116000175476074,2.4018,-0.60469,,,,,2.4018,-0.6047030536130557,0.0130559209767113,2.822914029983857,0.005599999999999999
-0.15001,18803.9747,4.0299,0.59007,,,2.4119,-0.60453,4.0299,0.59007,-2.766872175205627,-0.361878554020393,2.4119,-0.6045611655011676,0.0141247755085451,2.822914029983857,0.005599999999999999
-0.15002,18863.9737,4.0291,0.59257,0.0,0.0,2.4219,-0.60445,,,,,2.4219,-0.6044191608391629,0.0138227935307959,2.822914029983857,0.005599999999999999
-0.15002,18923.9733,4.0282,0.59507,,,2.432,-0.60431,,,,,2.432,-0.6042834032634052,0.0127235800503164,2.7082765306444605,0.005599999999999999
-0.15002,18983.9749,4.0272,0.59757,0.0,0.0,2.4421,-0.60416,,,,,2.4421,-0.6041621445221466,0.0128427153851937,2.7082765306444605,0.005599999999999999
-0.15001,19043.9731,4.0262,0.60007,,,2.4521,-0.60397,4.0262,0.60007,-2.7027027027028367,-0.3699999999999761,2.4521,-0.6040254312354333,0.0136820645325137,2.7082765306444605,0.005599999999999999
-0.15002,19103.9749,4.0253,0.60257,0.0,2.6714000701904297,2.4622,-0.60388,,,,,2.4622,-0.603887132867135,0.013962934755014,2.7082765306444605,0.005599999999999999
-0.15003,19163.973,4.0245,0.60507,,,2.4723,-0.6038,,,,,2.4723,-0.603743379953382,0.0143548465064711,2.7082765306444605,0.005599999999999999
-0.15002,19223.9728,4.0236,0.60757,0.0,0.0,2.4823,-0.60362,,,,,2.4823,-0.6035986247086267,0.0141068308897587,2.7082765306444605,0.005599999999999999
