Current(A),Test_Time(s),Voltage(V),Charge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Charge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
0.15,1350.906,4.2001,0.06462,0.0,0.0,0.27207,0.63002,4.2001,0.06462,-0.000369120438726,-3042.158997493708,,,,1.8168012233311515,0.005599999999999999
0.1487,1350.915,4.2001,0.06462,0.0,0.0,0.27207,0.62455,,,,,,,,1.8168012233311515,0.005599999999999999
0.14997,76246.488,3.2519,0.06497,2.7191,0.38011,0.20374,0.48769,3.2519,0.06497,0.3932819997566348,-2376.126716791957,0.20374,0.4877042424242425,0.1205606432879028,,0.005599999999999999
0.14999,76306.488,3.2583,0.06747,2.6053,0.38904,0.21188,0.48871,3.2583,0.06747,0.3906250000000026,2.560000000000059,0.21188,0.488685606060606,0.1182240191535015,3.6329273068541306,0.005599999999999999
0.14998,76366.489,3.2647,0.06997,,0.3941,0.22003,0.48964,3.2647,0.06997,0.4004610655737783,2.4999999999998863,0.22003,0.4896300649350649,0.113831975335735,3.6750994327182607,0.005599999999999999
0.14997,76426.488,3.2708,0.07247,2.5068,0.4039,0.22819,0.49052,3.2708,0.07247,0.42070248110549,2.380000000000109,0.22819,0.4905421645021644,0.1098776420064844,3.725276787734374,0.005599999999999999
0.14998,76486.488,3.2766,0.07497,2.4011,0.42111,0.23638,0.49142,3.2766,0.07497,0.4348483652910264,2.300000000000068,0.23638,0.4914264502164495,0.1063011063010677,3.7333784654304316,0.005599999999999999
0.14998,76546.489,3.2823,0.07747,,0.43017,0.24457,0.49228,3.2823,0.07747,0.433993792577402,2.304708050639306,0.24457,0.4922833766233759,0.1041796467956146,3.725276787734421,0.005599999999999999
0.14998,76606.487,3.2881,0.07996,2.3082,0.43837,0.25278,0.49315,3.2881,0.07996,0.4380196180105589,2.2847481307998123,0.25278,0.4931349783549776,0.1025485134751029,3.691206339566341,0.005599999999999999
0.14997,76666.488,3.2937,0.08246,,0.44708,0.261,0.49396,3.2937,0.08246,0.4548460798460718,2.200000000000159,0.261,0.4939682251082243,0.0998495761266262,3.6912063395663623,0.005599999999999999
0.14997,76726.487,3.2991,0.08496,2.2127,0.45717,0.26924,0.49477,3.2991,0.08496,0.467371356544346,2.1399999999998727,0.26924,0.4947784415584408,0.0973158795744737,3.725276787734422,0.005599999999999999
0.14998,76786.488,3.3044,0.08746,,0.46658,0.27749,0.49559,3.3044,0.08746,0.4862612200036622,2.059999999999945,0.27749,0.495572943722943,0.0953100944610874,3.7494853722784227,0.005599999999999999
0.14998,76846.488,3.3094,0.08996,2.1255,0.47722,0.28575,0.49634,3.3094,0.08996,0.4951465734808753,2.019999999999982,0.28575,0.4963519913419906,0.0929564885984319,3.7835558204464688,0.005599999999999999
0.14998,76906.486,3.3145,0.09246,,0.48809,0.29403,0.49711,3.3145,0.09246,0.4951465734808771,2.019999999999982,0.29403,0.4971103896103889,0.0910325590750034,3.7996627272945043,0.005599999999999999
0.14998,76966.489,3.3195,0.09496,2.0262,0.49924,0.30232,0.49786,3.3195,0.09496,0.5051535765821473,1.9800000000000184,0.30232,0.4978603896103889,0.0885134076418978,3.8238713118385883,0.005599999999999999
0.14998,77026.487,3.3244,0.09746,,0.51229,0.31062,0.49859,3.3244,0.09746,0.5338447435711906,1.8799999999999957,0.31062,0.4985787878787872,0.0859657170854681,3.8759053013266795,0.005599999999999999
0.14998,77086.488,3.3289,0.09996,1.9421,0.51884,0.31893,0.49927,3.3289,0.09996,0.5429514852502635,1.8438628260538508,0.31893,0.4992882683982677,0.0840779052882538,3.8759053013266795,0.005599999999999999
0.14999,77146.486,3.3336,0.10245,,0.53319,0.32726,0.50001,3.3336,0.10245,0.5429514852502919,1.843862826053737,0.32726,0.4999777922077914,0.0816681134832428,3.8579417600066033,0.005599999999999999
