Potential (V),Capacity (Ah),Current (A)
3.02719547,0.0481023063,0.0
3.03436853,0.0481038947,0.043984623
3.04546828,0.0481056273,0.0479817124
3.05206402,0.0481073602,0.0479882823
3.05632456,0.0481090932,0.0479897647
3.05943551,0.0481108262,0.0479904631
3.06393069,0.0481142922,0.0479915337
3.06730476,0.0481177583,0.0479920339
3.07136029,0.0481229575,0.0479924853
3.07475993,0.0481281567,0.0479925982
3.07866472,0.048135089,0.0479929612
3.08213169,0.0481420214,0.0479934065
3.08526953,0.0481489537,0.0479930771
3.08885367,0.0481576191,0.0479931259
3.09214166,0.0481662846,0.0479933089
3.09518921,0.0481749501,0.047993376
3.09858887,0.0481853487,0.0479937023
3.10174206,0.0481957472,0.0479934431
3.10517127,0.0482078789,0.0479936627
3.10837095,0.0482200106,0.0479936291
3.11176948,0.0482338754,0.0479935986
3.11494688,0.0482477402,0.0479935224
3.11829557,0.0482633382,0.0479938792
3.12142275,0.0482789361,0.0479934095
3.12468359,0.0482962671,0.0479935529
3.12774308,0.0483135982,0.0479935864
3.13091179,0.0483326623,0.0479939433
3.13415516,0.0483534596,0.047993437
3.1372022,0.0483742568,0.0479935773
3.14032246,0.0483967872,0.0479933577
3.14347607,0.0484210507,0.0479936017
3.14666754,0.0484470473,0.0479936291
3.1496862,0.0484730439,0.0479936627
3.15279265,0.0485007736,0.0479935925
3.15586299,0.0485302364,0.0479936413
3.15896028,0.0485614323,0.047993501
3.16205475,0.0485943614,0.0479935864
3.16515938,0.0486290235,0.047993684
3.16827683,0.0486654188,0.0479935925
3.17137962,0.0487035471,0.0479937023
3.17449021,0.0487434086,0.0479935102
3.1775882,0.0487850032,0.0479936993
3.180692,0.0488283309,0.0479936413
3.18379839,0.0488733917,0.0479935193
3.18689418,0.0489201856,0.0479936078
3.18999974,0.0489687127,0.0479934309
3.19310118,0.0490189728,0.0479937908
3.19610492,0.049069233,0.0479939829
3.19910637,0.0491212262,0.0479940073
3.20211317,0.0491749526,0.0479936993
3.20512752,0.0492304121,0.0479937786
3.20815249,0.0492876046,0.0479937847
3.21119128,0.0493465303,0.0479939829
3.21423304,0.0494071891,0.0479940134
3.21727687,0.0494695811,0.0479936474
3.22033498,0.0495337061,0.047993806
3.22340027,0.0495995643,0.047993803
3.22640075,0.0496654224,0.0479936596
3.22940795,0.0497330136,0.0479938762
3.2323608,0.0498006049,0.0479935529
3.23524068,0.0498681962,0.0479937755
3.23807614,0.0499357874,0.0479940714
3.24085076,0.0500033787,0.0479937145
3.24357737,0.05007097,0.0479939738
3.24626506,0.0501385613,0.0479935834
3.24889191,0.0502061526,0.0479938335
3.25149311,0.0502737439,0.0479940622
3.25404218,0.0503413351,0.0479937237
3.25655621,0.0504089264,0.0479938548
3.25903864,0.0504765177,0.0479935803
3.26147429,0.050544109,0.0479938121
3.2638907,0.0506117002,0.0479940317
3.26626298,0.0506792915,0.0479937237
3.26860322,0.0507468828,0.0479939829
3.27092826,0.050814474,0.0479935163
3.27320483,0.0508820653,0.0479938426
3.27546514,0.0509496566,0.0479940348
3.2776879,0.0510172478,0.0479936383
3.27988547,0.0510848391,0.0479939341
3.28206808,0.0511524304,0.0479936108
3.28420863,0.0512200217,0.0479937664
3.28633842,0.051287613,0.0479940561
3.28843539,0.0513552043,0.0479936962
3.29050991,0.0514227956,0.0479938182
3.2925694,0.0514903869,0.0479935712
3.29459508,0.0515579782,0.0479939219
3.29661098,0.0516255696,0.0479940866
3.29859804,0.0516931609,0.0479937054
3.30056333,0.0517607522,0.0479938579
3.30251901,0.0518283434,0.0479935681
3.3044434,0.0518959347,0.0479937298
3.30635794,0.051963526,0.0479940683
3.30824721,0.0520311172,0.0479937084
3.31012167,0.0520987085,0.0479938884
3.31198416,0.0521662998,0.0479935956
3.31381404,0.0522338912,0.0479937999
3.31564096,0.0523014825,0.0479940866
3.31744298,0.0523690738,0.0479937816
3.31922799,0.0524366651,0.0479939463
3.3210088,0.0525042564,0.0479935529
3.32275541,0.0525718478,0.0479938518
3.32450309,0.0526394391,0.0479940256
3.32622451,0.0527070304,0.047993803
3.32793548,0.0527746217,0.0479939006
3.32963736,0.0528422131,0.0479935315
3.33131001,0.0529098044,0.0479937938
3.33298479,0.0529773958,0.0479941355
3.33463629,0.0530449871,0.0479936718
3.33627368,0.0531125784,0.0479939067
3.33790793,0.0531801698,0.0479936627
3.3395118,0.0532477611,0.0479938884
3.34111972,0.0533153525,0.0479940012
3.34270543,0.0533829439,0.0479937725
3.34427839,0.0534505352,0.0479939006
3.34584967,0.0535181265,0.0479936322
3.34739408,0.0535857179,0.0479937908
3.34893674,0.0536533092,0.04799423
3.35046397,0.0537209006,0.047993742
3.35197701,0.0537884919,0.0479939097
3.35348853,0.0538560833,0.0479936383
3.35497409,0.0539236746,0.047993742
3.35646178,0.053991266,0.0479940744
3.35793254,0.0540588573,0.0479937481
3.35939092,0.0541264486,0.0479939067
3.36084862,0.05419404,0.047993681
3.36228128,0.0542616313,0.0479939341
3.36371731,0.0543292227,0.0479940622
3.36513356,0.0543968141,0.0479936566
3.36654118,0.0544644054,0.0479939921
3.36794858,0.0545319967,0.0479936413
3.36933109,0.0545995881,0.0479938548
3.37071582,0.0546671794,0.0479940317
3.37208475,0.0547347708,0.0479937237
3.37344497,0.0548023621,0.0479940134
3.37480527,0.0548699535,0.047993681
3.37613955,0.0549375449,0.0479939006
3.37747924,0.0550051362,0.0479941538
3.37880351,0.0550727276,0.0479936932
3.38011893,0.0551403189,0.0479938945
3.38143564,0.0552079103,0.047993681
3.38272541,0.0552755016,0.0479938091
3.38402564,0.055343093,0.0479941629
3.38530579,0.0554106843,0.0479936871
3.38657786,0.0554782756,0.0479939707
3.38785221,0.055545867,0.0479936535
3.3891029,0.0556134583,0.0479939128
3.39036046,0.0556810497,0.0479940531
3.39159908,0.055748641,0.047993745
3.39283313,0.0558162324,0.0479940195
3.39406825,0.0558838238,0.0479936413
3.39527963,0.0559514152,0.0479938914
3.39649818,0.0560190065,0.0479941873
3.39770009,0.0560865979,0.0479937847
3.39889552,0.0561541893,0.0479939951
3.40009247,0.0562217807,0.0479936688
3.40126766,0.056289372,0.0479938823
3.40245049,0.0563569634,0.0479942483
3.40361454,0.0564245547,0.0479937908
3.40477394,0.0564921461,0.0479939097
3.405937,0.0565597374,0.0479936566
3.40707968,0.0566273288,0.0479938853
3.40822495,0.0566949202,0.0479941019
3.40935435,0.0567625116,0.047993806
3.41048092,0.0568301029,0.0479939524
3.41160772,0.0568976943,0.047993681
3.4127156,0.0569652857,0.047993803
3.41382858,0.0570328771,0.0479942087
3.41492508,0.0571004685,0.0479938274
3.4160173,0.0571680599,0.0479939555
3.41711456,0.0572356512,0.0479936017
3.41818801,0.0573032426,0.0479938792
3.41927107,0.057370834,0.0479940104
3.42033757,0.0574384253,0.0479938304
3.4213985,0.0575060167,0.0479939646
3.42246225,0.0575736081,0.0479936718
3.42350692,0.0576411995,0.0479937694
3.42455754,0.0577087909,0.0479941782
3.42559442,0.0577763822,0.0479937389
3.4266255,0.0578439736,0.0479940317
3.42765956,0.057911565,0.0479937023
3.42867415,0.0579791564,0.0479938823
3.42969332,0.0580467478,0.047994169
3.43070181,0.0581143392,0.047993867
3.43170098,0.0581819306,0.047993867
3.43270725,0.058249522,0.047993684
3.4336907,0.0583171134,0.0479939311
3.43468262,0.0583847047,0.047994108
3.4356605,0.0584522961,0.0479937694
3.43663296,0.0585198875,0.0479938487
3.43760816,0.0585874789,0.0479936749
3.43856421,0.0586550703,0.0479938182
3.43952621,0.0587226616,0.0479940073
3.44047424,0.058790253,0.0479938091
3.44141853,0.0588578444,0.0479939463
3.44236701,0.0589254357,0.0479935407
3.443291,0.0589930271,0.0479937206
3.44422674,0.0590606185,0.0479941568
3.44514423,0.0591282098,0.0479937359
3.44605685,0.0591958012,0.0479939219
3.44697396,0.0592633926,0.0479936474
3.44787123,0.0593309839,0.0479938152
3.44877621,0.0593985754,0.0479942087
3.44966691,0.0594661667,0.0479937725
3.45054761,0.0595337581,0.0479940165
3.45143213,0.0596013495,0.0479935895
